,title,release_year,locations,locations_formatted,formatted_address,lat,long
148,Copycat,1995,Twin Peaks,"Twin Peaks, San Francisco, CA","Twin Peaks, 501 Twin Peaks Blvd, San Francisco, CA 94114, USA",37.7525098,-122.4475683
149,Copycat,1995,Sound Factory (1st and Harrison Streets),"1st and Harrison Streets, San Francisco, CA","Harrison St & 1st St, San Francisco, CA 94105, USA",37.7860781,-122.3929581
150,Copycat,1995,"Java House (Pier 40, Embarcadero)","Pier 40, Embarcadero, San Francisco, CA","89 King St, San Francisco, CA 94107, USA",37.7819503,-122.3878795
151,Copycat,1995,Alta Plaza Park,"Alta Plaza Park, San Francisco, CA","Alta Plaza Park, Jackson St & Steiner St., San Francisco, CA 94115, USA",37.7911417,-122.4376241
152,Copycat,1995,82 & 67 Rico Way (Marina District),"82 and 67 Rico Way, San Francisco, CA","67 Rico Way, San Francisco, CA 94123, USA",37.804986,-122.439794
153,Dawn of the Planet of the Apes,2014,University Club,"University Club, San Francisco, CA","800 Powell St, San Francisco, CA 94108, USA",37.792367,-122.4090581
154,Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,"Filbert St. from Hyde to Leavenworth, San Francisco, CA","San Francisco, CA 94109, USA",37.8002388,-122.4193474
155,Dawn of the Planet of the Apes,2014,California St from Mason to Kearny,"California St from Mason to Kearny, San Francisco, CA","555 California St, San Francisco, CA 94104, USA",37.792062,-122.4037148
156,Dawn of the Planet of the Apes,2014,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
157,Dawn of the Planet of the Apes,2014,Alioto Park,"Alioto Park, San Francisco, CA","Alioto Park, San Francisco, CA 94110, USA",37.7588666,-122.4181453
158,Dawn of the Planet of the Apes,2014,California & Powell ,"California and Powell , San Francisco, CA","California St & Powell St, San Francisco, CA 94108, USA",37.7920527,-122.409182
159,Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,"Columbus and Pacific Ave, San Francisco, CA","Columbus Ave & Pacific Ave, San Francisco, CA 94133, USA",37.7970734,-122.4055576
160,Doctor Dolittle,1998,Webster Street,"Webster Street, San Francisco, CA","Webster St, San Francisco, CA, USA",37.7879365,-122.4319746
161,Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),"Telegraph Hill Blvd, San Francisco, CA","Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8027862,-122.4060487
162,Doctor Dolittle,1998,Larkin & Hyde Streets,"Larkin and Hyde Streets, San Francisco, CA","134 Golden Gate Ave, San Francisco, CA 94102, USA",37.7822605,-122.4130207
163,Doctor Dolittle,1998,Gabbiano's Restaurant (Ferry Building),"Gabbiano's Restaurant, San Francisco, CA","129 Ellis St, San Francisco, CA 94102, USA",37.7852683,-122.4085119
164,Doctor Dolittle,1998,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
165,Doctor Dolittle,1998,2107 Union Street,"2107 Union Street, San Francisco, CA","2107 Union St, San Francisco, CA 94123, USA",37.7971178,-122.4340934
166,Doctor Dolittle,1998,2100 Green Street,"2100 Green Street, San Francisco, CA","2100 Green St, San Francisco, CA 94123, USA",37.7965625,-122.4339367
